addressString,fullAddress,score,precision,faults,X,Y,Cultivar,Blooming
8150 Sussex Ave,"8150 Sussex Ave, Burnaby, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.004928,49.2102927,Accolade,03/14-03/26
3705 Willingdon Ave,"3705 Willingdon Ave, Burnaby, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0044387,49.2494782,Accolade,03/14-03/26
4371 Frances St,"4371 Frances St, Burnaby, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0062423,49.2792356,Accolade,03/14-03/26
3999 Henning Dr,"3999 Henning Dr, Burnaby, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0151079,49.2654202,Accolade,03/14-03/26
5635 Clark Dr,"5635 Clark Dr, Delta, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8944972,49.105383,Accolade,03/14-03/26
Devonian Harbour Park,"Devonian Ave, Kelowna, BC",63,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.notMatched:3, STREET_QUALIFIER.notMatched:1, PROVINCE.missing:1]",-119.4855556,49.8043729,Accolade,03/14-03/26
37th and Highbury,"Highbury St and W 37th Lane, Vancouver, BC",75,INTERSECTION(100),"[STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.188198,49.2380926,Accolade,03/14-03/26
1630 W 15th Ave,"1630 W 15th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1424376,49.2576169,Accolade,03/14-03/26
Charles,"Charles Creek 2 near Kingcome Inlet, BC",66,LOCALITY(68),"[LOCALITY.partialMatch:1, PROVINCE.missing:1]",-126.3680555,50.9330555,Accolade,03/14-03/26
Nanaimo at Parker,"Parker Island, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.4251689,48.8804348,Accolade,03/14-03/26
1353-1383 E Broadway,"UNIT 1353 -- 1383 E Broadway, Vancouver, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0759802,49.2626641,Accolade,03/14-03/26
5th,"Fifth Cabin in Driftwood River, BC",66,LOCALITY(68),"[LOCALITY.partialMatch:1, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-127.9608334,56.4191667,Accolade,03/14-03/26
NB Rupert St @ Kitchener St East Vancouver,"Vancouver, BC",47,LOCALITY(68),"[LOCALITY_INITIAL_GARBAGE.notAllowed:20, PROVINCE.missing:1]",-123.1138889,49.2608333,Accolade,03/14-03/26
Dumfries,"Dumfries St, Vancouver, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.0741759,49.2360819,Accolade,03/14-03/26
Dumfries,"Dumfries St, Vancouver, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.0741759,49.2360819,Accolade,03/14-03/26
Lanark,"Lanark Snowshed, Canyon Hot Springs, BC",66,STREET(78),"[LOCALITY.missing:10, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-117.725121,51.2068799,Accolade,03/14-03/26
Nanaimo north of Kingsway,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Accolade,03/14-03/26
McCleery Park,"McCleery St, Vancouver, BC",64,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.notMatched:3, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1689307,49.2291583,Accolade,03/14-03/26
Yew St,"Yew St, Ucluelet, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-125.5477502,48.939789,Accolade,03/14-03/26
50 Ave. from Marine Crescent to MacDonald,"McDonald Lake 1 near Atlin, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-133.5519445,59.7330556,Accolade,03/14-03/26
Marine Crescent at 50th,"Marine Cres, Coquitlam, BC",39,STREET(78),"[LOCALITY_GARBAGE.notAllowed:3, LOCALITY.notMatched:35, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-122.8509157,49.2681559,Accolade,03/14-03/26
7188 Beechwood St,"7188 Beechwood St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1558772,49.2205457,Accolade,03/14-03/26
2898 W 49th Ave,"2898 W 49th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1695092,49.2270207,Accolade,03/14-03/26
6792 Yew St,"6792 Yew St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1584996,49.2238937,Accolade,03/14-03/26
West Blvd and 57th,"W 57th Ave and West Boulevard, Vancouver, BC",81,INTERSECTION(100),"[STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.1505103,49.2194807,Accolade,03/14-03/26
6074 Carnarvon St,"6074 Carnarvon St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1728342,49.2312514,Accolade,03/14-03/26
2196 W 45th Ave,"2196 W 45th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1584591,49.2306123,Accolade,03/14-03/26
7355 Blake St,"7355 Blake St, Vancouver, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0298014,49.2173761,Accolade,03/14-03/26
Yew,"Yew Crt, Comox, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-124.92503,49.6853999,Accolade,03/14-03/26
1455 Larch St,"1455 Larch St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1623512,49.2729411,Accolade,03/14-03/26
1088 Maple St,"1088 Maple St, White Rock, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-122.7887504,49.0205751,Accolade,03/14-03/26
5261 Ladner Trunk Rd,"5261 Ladner Trunk Rd, Delta, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.078578,49.0902975,Accolade,03/14-03/26
4753 River Rd W,"4753 River Rd W, Delta, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.092488,49.0899987,Accolade,03/14-03/26
5175-5189 Ladner Trunk Rd,"UNIT 5175 -- 5189 Ladner Trunk Rd, Delta, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-123.079322,49.0903015,Accolade,03/14-03/26
4890 55b St,"4890 55B St, Delta, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0681182,49.0918505,Accolade,03/14-03/26
5250 203 St,"5250 203 St, Township of Langley, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-122.6601122,49.1152215,Accolade,03/14-03/26
4975 203 St,"4975 203 St, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6603052,49.0927475,Accolade,03/14-03/26
4944 205a St,"4944 205A St, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6531527,49.0922546,Accolade,03/14-03/26
20579 48 Ave,"20579 48 Ave, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6524784,49.0898273,Accolade,03/14-03/26
6263 200 St,"6263 200 St, Township of Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6692363,49.11642,Accolade,03/14-03/26
5379 205 St,"5379 205 St, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6542696,49.1001481,Accolade,03/14-03/26
5060 205a St,"5060 205A St, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6526665,49.0944474,Accolade,03/14-03/26
20399 Dewdney Trunk Rd,"20399 Dewdney Trunk Rd, Maple Ridge, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6556228,49.221979,Accolade,03/14-03/26
21467 Dewdney Trunk Rd,"21467 Dewdney Trunk Rd, Maple Ridge, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6262896,49.2211279,Accolade,03/14-03/26
75th,"75 St, Fort St. John, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-120.8011122,56.2355455,Accolade,03/14-03/26
58th and Adera,"Adera Lane and W 58th Lane, Vancouver, BC",75,INTERSECTION(100),"[STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1408628,49.2180826,Accolade,03/14-03/26
61st,"61 Rd, Sierra, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-121.8630539,58.7308127,Accolade,03/14-03/26
66th west of Adera,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Accolade,03/14-03/26
3-19 E 60th Ave,"UNIT 3 -- 19 E 60th Ave, Vancouver, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-123.1055608,49.2161527,Accolade,03/14-03/26
The Powerhouse at Stave Falls Visitor Centre,"Central Saanich, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1]",-123.4205555,48.5941666,Accolade,03/14-03/26
Behind City Hall at 11th and Yukon,"Swift River, BC",51,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.isAlias:4, PROVINCE.missing:1]",-130.6422456,59.8144802,Accolade,03/14-03/26
Yukon 14th-15th,"14 15th Ave, Prince George, BC",79,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-122.7285011,53.9105201,Accolade,03/14-03/26
15th and Columbia,"15th St and Columbia Ave, Castlegar, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-117.6586199,49.3064464,Accolade,03/14-03/26
13th west of Alberta,"13 East of Croker Island, Indian Arm, BC",73,BLOCK(99),"[STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_NAME.spelledWrong:2, STREET_TYPE.missing:6, PROVINCE.notMatched:1, FAULTS.tooMany:6]",-122.8567399,49.4344537,Accolade,03/14-03/26
E 7th Ave at Glen,"Glenbank in Nakusp, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-117.8011112,50.2497222,Accolade,03/14-03/26
Fraser Lane north of 6th,"Six Mile Meadow 6 near Fort St. James, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-124.2766667,54.3369444,Accolade,03/14-03/26
625 Hamilton St,"625 Hamilton St, New Westminster, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9245567,49.2147616,Accolade,03/14-03/26
820 Sixth Ave,"820 6th Ave, Keremeos, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-119.8189645,49.2063266,Accolade,03/14-03/26
625 2nd St,"625 Second St, New Westminster, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9151061,49.2177708,Accolade,03/14-03/26
625 2nd St,"625 Second St, New Westminster, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9151061,49.2177708,Accolade,03/14-03/26
Purcell Way and Lynnmour,"Purcell Way, District of North Vancouver, BC",64,STREET(78),"[LOCALITY_GARBAGE.notAllowed:3, LOCALITY.isAlias:4, STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.0221376,49.3176002,Accolade,03/14-03/26
Lynn Valley Mall's parking lot,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Accolade,03/14-03/26
Tempe Glen Dr.,"Tempe Glen Dr, North Vancouver, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0560132,49.3338333,Accolade,03/14-03/26
Ash south of 45th,"Ash, Township of Langley, BC",42,STREET(78),"[LOCALITY.notMatched:35, PROVINCE.missing:1]",-122.6760861,49.0742247,Accolade,03/14-03/26
Laurel and 54th,"Laurel Lane and W 54th Ave, Vancouver, BC",75,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1245448,49.2214645,Accolade,03/14-03/26
Yaohan Center,"Mahan Rd, Gibsons, BC",55,STREET(78),"[LOCALITY.missing:10, STREET_NAME.spelledWrong:2, STREET_TYPE.notMatched:3, STREET_TYPE.spelledWrong:1, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.5240111,49.3969385,Accolade,03/14-03/26
Minoru Park,"Minoru Gate, Richmond, BC",64,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.notMatched:3, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1419399,49.1637192,Accolade,03/14-03/26
Intersection of Gilbert and Granville,"Granisle, BC",45,LOCALITY(68),"[LOCALITY_INITIAL_GARBAGE.notAllowed:20, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-126.2066667,54.8844445,Accolade,03/14-03/26
Granville Park,"Granville Bridge, Vancouver, BC",66,STREET(78),"[LOCALITY.missing:10, STREET_QUALIFIER.notMatched:1, PROVINCE.missing:1]",-123.1342348,49.2717674,Accolade,03/14-03/26
Bathgate Way at Sweden Way,"Sevenoaks in Saanich, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.notMatched:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.3844445,48.4663889,Accolade,03/14-03/26
Williams Road,"Williams Rd, Chilliwack, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-121.9465313,49.1844859,Accolade,03/14-03/26
6833 Livingstone Place,"6833 Livingstone Pl, Richmond, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1484039,49.1618759,Accolade,03/14-03/26
9253-9311 Ferndale Rd,"UNIT 9253 -- 9311 Ferndale Rd, Richmond, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-123.1209512,49.1689018,Accolade,03/14-03/26
11011 Swallow Dr,"11011 Swallow Dr, Richmond, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1667077,49.1334592,Accolade,03/14-03/26
Steveston Exchange @ Bay 2 Steveston,"2 Steveston Hwy, Richmond, BC",79,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.0951303,49.1337329,Accolade,03/14-03/26
18th between Sophia and Prince Edward,"Edward King Island, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-125.2140268,48.8223043,Accolade,03/14-03/26
30th,"30 Cres, Vernon, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-119.2580135,50.2638026,Accolade,03/14-03/26
Sophia north of 20th,"Sophia Lane, Nanaimo, BC",36,STREET(78),"[LOCALITY.notMatched:35, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.9370163,49.1582282,Accolade,03/14-03/26
Sophia St. at 18th and 19th,"18 Andover Rd, Nanoose Bay, BC",47,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.notMatched:35, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-124.1336349,49.2743217,Accolade,03/14-03/26
4161 Cambie St,"4161 Cambie St, Vancouver, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1156389,49.248406,Accolade,03/14-03/26
3403 Prince Edward St,"3403 Prince Edward St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0968997,49.2545907,Accolade,03/14-03/26
Angus Dr and Alexandra St in Angus Park,"Alexandra St and Angus Dr, Vancouver, BC",64,INTERSECTION(100),"[LOCALITY.notMatched:35, PROVINCE.missing:1]",-123.1436332,49.2536357,Accolade,03/14-03/26
Marguerite,"Marguerite, BC",67,LOCALITY(68),[PROVINCE.missing:1],-122.4344445,52.4997222,Accolade,03/14-03/26
5187 Pine Cres,"5187 Pine Cres, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1473176,49.2392357,Accolade,03/14-03/26
Laurel,"Laurel Dr, Royston, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-124.9392892,49.6429186,Accolade,03/14-03/26
538 W 28th Ave,"538 W 28th Ave, Vancouver, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.117759,49.2461125,Accolade,03/14-03/26
E Pender st,"E Pender St, Vancouver, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0637177,49.2802401,Accolade,03/14-03/26
Union and Hawks,"Hawks Ave and Union St, Vancouver, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0872986,49.2774361,Accolade,03/14-03/26
Hawks and Georgia,"E Georgia St and Hawks Ave, Vancouver, BC",75,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0872826,49.2783473,Accolade,03/14-03/26
Union,"Union Bay, BC",66,LOCALITY(68),"[LOCALITY.partialMatch:1, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-124.8863888,49.5833334,Accolade,03/14-03/26
Hawks at Prior,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Accolade,03/14-03/26
59th and Prince Edward,"E 59th Ave and Prince Edward St, Vancouver, BC",75,INTERSECTION(100),"[STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0977848,49.216658,Accolade,03/14-03/26
5878 Reef Rd,"5878 Reef Rd, Sechelt, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.7704267,49.4849111,Accolade,03/14-03/26
6587 Gale Ave N,"6587 Gale Ave N, Sechelt, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.7907833,49.5070475,Accolade,03/14-03/26
726 Franklin Rd,"726 Franklin Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.5099681,49.3925444,Accolade,03/14-03/26
96 Chadwick Rd,"96 Chadwick Rd, Langdale, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.475511,49.4416892,Accolade,03/14-03/26
143 Pilling Rd,"143 Pilling Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.546406,49.3882354,Accolade,03/14-03/26
Old Yale Road ne from University Dr,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Accolade,03/14-03/26
100th Ave and 155 St,"100 Ave and 155 St, Surrey, BC",89,INTERSECTION(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7925841,49.1843233,Accolade,03/14-03/26
148Str near 103 Ave and Hjorth Rd (Hjorth Road Park),"Park Royal in West Vancouver, BC",52,LOCALITY(68),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.notMatched:12, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1511111,49.3330556,Accolade,03/14-03/26
On MacDonald's parking lot of 104Ave around 145Str,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Accolade,03/14-03/26
14476 104 Ave,"14476 104 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8208057,49.1913167,Accolade,03/14-03/26
148str south from 104 ave,"104 Aveling Coalmine Rd, Telkwa, BC",72,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-127.1167052,54.6596584,Accolade,03/14-03/26
13447-13475 77 Ave,"UNIT 13447 -- 13475 77 Ave, Surrey, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8487749,49.1427711,Accolade,03/14-03/26
1680 168 St,"1680 168 St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7567697,49.0326169,Accolade,03/14-03/26
Main Mall and Stores,"Main Mall and Stores Rd, Vancouver, BC",83,INTERSECTION(100),"[STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.2509297,49.2623362,Accolade,03/14-03/26
Chancellor and Wesbrook,"Chancellor Blvd and Wesbrook Cres, Vancouver, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.2484434,49.2732985,Accolade,03/14-03/26
2707 Tennis Crescent,"2707 Tennis Cres, Vancouver, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.2377296,49.2634783,Accolade,03/14-03/26
623 Brown Dr,"623 Brown Dr, Ladysmith, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.8338611,48.9935971,Accolade,03/14-03/26
Nanaimo,"Nanaimo, BC",67,LOCALITY(68),[PROVINCE.missing:1],-123.9380556,49.1636111,Accolade,03/14-03/26
Beach and Thurlow,"Beach Ave and Thurlow St, Vancouver, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.1354242,49.2775936,Accolade,03/14-03/26
Chilco mini-park at Comox,"Childs Rd, Courtenay, BC",56,STREET(78),"[LOCALITY_GARBAGE.notAllowed:3, LOCALITY.isAlias:4, STREET_NAME.spelledWrong:2, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-124.9838594,49.7287237,Accolade,03/14-03/26
1023 Jervis St,"1023 Jervis St, Vancouver, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1321819,49.2846504,Accolade,03/14-03/26
